Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Londonderry Chapel,Bonnie Doon Stake,1,3,14,25,No,Clareview Ward,Neutral,No Comments,2,14,25
Gateway Stake Centre,Gateway Stake,3,1,18,25,Yes,Crawford Plains Ward,Neutral,No Comments,2,144,30
Gateway Stake Centre,Gateway Stake,2,0,20,30,No,Silver Berry Ward,Neutral,No Comments,2,186,30
Gateway Stake Centre,Gateway Stake,2,1,20,25,Yes,Crawford Plains Ward,Neutral,No Comments,1,195,30
Londonderry Chapel,Bonnie Doon Stake,1,0,2,5,No,Londonderry Ward,Neutral,No Comments,2,1,141
Bearspaw Chapel,Gateway Stake,2,0,20,20,No,Blackmud Creek Ward,Neutral,No Comments,2,179,20
Gateway Stake Centre,Gateway Stake,1,4,17,25,No,Lee Ridge Ward,Neutral,No Comments,2,141,22
Londonderry Chapel,Bonnie Doon Stake,2,0,32,45,No,Londonderry Ward,Neutral,No Comments,2,27,141
Londonderry Chapel,Bonnie Doon Stake,2,0,100,5,Yes,Londonderry Ward,Neutral,No Comments,2,200,49
Bearspaw Chapel,Bonnie Doon Stake,2,3,15,45,No,Southgate Ward,Neutral,No Comments,2,13,35
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,30,30,No,Connors Hill Ward,Neutral,No Comments,2,195,30
Londonderry Chapel,Bonnie Doon Stake,1,0,17,60,No,Clareview Ward,Neutral,No Comments,2,110,141
Londonderry Chapel,Bonnie Doon Stake,3,2,20,40,No,Londonderry Ward,Negative,Route bowen: 41-113,2,107,40
Coronation Park Chapel,Bonnie Doon Stake,2,1,25,55,No,Coronation Park Ward,Neutral,No Comments,2,20,55
Londonderry Chapel,Bonnie Doon Stake,2,3,24,45,Yes,Clareview Ward,Neutral,No Comments,3,250,45
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,5,10,60,No,Connors Hill Ward,Positive,it was good,2,184,60
Londonderry Chapel,Bonnie Doon Stake,2,2,12,30,No,Londonderry Ward,Neutral,No Comments,2,12,141
Londonderry Chapel,Bonnie Doon Stake,2,0,30,45,Yes,Londonderry Ward,Neutral,No Comments,2,195,60
Londonderry Chapel,Bonnie Doon Stake,2,0,16,25,No,Londonderry Ward,Negative,Route 1,2,98,25
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,10,20,Yes,Forest Heights Ward,Negative,half of the route had no flyer signs,2,120,20
Coronation Park Chapel,Bonnie Doon Stake,2,0,20,60,No,Coronation Park Ward,Neutral,No Comments,2,96,60
Gateway Stake Centre,Gateway Stake,5,0,29,55,No,Silver Berry Ward,Neutral,No Comments,2,19,30
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,40,30,No,Forest Heights Ward,Neutral,No Comments,2,200,45
Coronation Park Chapel,Bonnie Doon Stake,2,0,18,63,No,Coronation Park Ward,Neutral,No Comments,2,140,63
Gateway Stake Centre,Gateway Stake,2,3,21,30,No,Silver Berry Ward,Neutral,No Comments,2,1,32
Bearspaw Chapel,Gateway Stake,5,3,24,40,No,Lee Ridge Ward,Neutral,No Comments,2,157,40
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,40,180,Yes,Connors Hill Ward,Negative,We had 2 routes,2,375,60
Gateway Stake Centre,Gateway Stake,3,0,35,30,No,Silver Berry Ward,Neutral,No Comments,2,250,63
Gateway Stake Centre,Gateway Stake,2,0,15,25,No,Crawford Plains Ward,Neutral,No Comments,2,116,25
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,30,30,No,Forest Heights Ward,Neutral,no comments,2,115,30
Londonderry Chapel,Bonnie Doon Stake,1,1,36,45,No,Clareview Ward,Negative,An extra bag of rice not labelled,2,15,141
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,15,30,No,Forest Heights Ward,Neutral,No Comments,2,90,38
North Stake Centre,Edmonton North Stake,2,1,21,45,No,Griesbach Ward,Neutral,No Comments,2,206,45
Gateway Stake Centre,Gateway Stake,2,3,21,32,No,Silver Berry Ward,Neutral,No Comments,2,202,32
North Stake Centre,Edmonton North Stake,1,1,23,45,No,Griesbach Ward,Neutral,No Comments,2,206,45
Riverbend Stake Centre,Riverbend Stake,2,0,30,50,No,Greenfield Ward,Negative,There were lots of homes with the bags in their mailboxes,2,172,50
Londonderry Chapel,Bonnie Doon Stake,2,0,24,30,No,Clareview Ward,Neutral,156,2,23,141
Coronation Park Chapel,Bonnie Doon Stake,2,0,5,32,No,Coronation Park Ward,Neutral,No Comments,2,302,39
North Stake Centre,Edmonton North Stake,2,3,29,60,No,Griesbach Ward,Neutral,No Comments,2,107,60
Gateway Stake Centre,Gateway Stake,1,0,20,20,No,Crawford Plains Ward,Neutral,No Comments,2,100,20
Londonderry Chapel,Bonnie Doon Stake,2,1,17,30,No,Londonderry Ward,Neutral,No Comments,2,182,141
Londonderry Chapel,Bonnie Doon Stake,3,0,15,45,Yes,Londonderry Ward,Negative,"Routes 34, 29",2,200,51
North Stake Centre,Edmonton North Stake,2,2,24,30,No,Griesbach Ward,Neutral,No Comments,2,20,30
Gateway Stake Centre,Gateway Stake,2,0,26,45,No,Crawford Plains Ward,Neutral,No Comments,2,150,40
Gateway Stake Centre,Gateway Stake,3,0,24,35,No,Silver Berry Ward,Positive,It' was a good gig.,2,194,40
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,3,30,60,Yes,Forest Heights Ward,Neutral,No Comments,2,100,73
Gateway Stake Centre,Gateway Stake,2,2,33,50,Yes,Ellerslie Ward,Neutral,No Comments,1,207,50
Londonderry Chapel,Bonnie Doon Stake,2,2,11,35,No,Londonderry Ward,Neutral,57,2,116,141
Bearspaw Chapel,Gateway Stake,2,0,15,45,No,Blackmud Creek Ward,Negative,We went through the route twice.  Donations on the route are down dramatically.  Less than half of the usual of the last 10 years. ,2,135,35
Gateway Stake Centre,Gateway Stake,1,0,11,20,No,Silver Berry Ward,Neutral,No Comments,2,29,13
Riverbend Stake Centre,Riverbend Stake,2,3,22,30,No,Rabbit Hill Ward,Neutral,No Comments,2,80,40
North Stake Centre,Edmonton North Stake,2,0,23,100,No,Namao Ward,Neutral,No Comments,2,160,100
Gateway Stake Centre,Gateway Stake,2,0,23,30,No,Wainwright Branch,Positive,People with  whom i  interact on Tuesdays gave more,2,137,30
Gateway Stake Centre,Gateway Stake,1,4,16,20,Yes,Lee Ridge Ward,Positive,"It was great, the kids had fun!",2,147,20
Riverbend Stake Centre,Riverbend Stake,4,2,59,60,Yes,Rabbit Hill Ward,Neutral,No Comments,2,236,60
Gateway Stake Centre,Gateway Stake,1,1,5,17,No,Crawford Plains Ward,Neutral,No Comments,2,135,17
North Stake Centre,Edmonton North Stake,2,3,35,70,No,Griesbach Ward,Neutral,No Comments,2,370,65
Riverbend Stake Centre,Riverbend Stake,3,1,25,45,No,Woodbend Ward,Neutral,No Comments,2,195,45
Gateway Stake Centre,Gateway Stake,2,0,15,40,No,Crawford Plains Ward,Neutral,No Comments,2,115,40
North Stake Centre,Edmonton North Stake,2,2,16,60,No,Griesbach Ward,Neutral,No Comments,2,200,50
Gateway Stake Centre,Gateway Stake,2,0,20,30,No,Silver Berry Ward,Neutral,No Comments,2,198,30
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,40,No,Connors Hill Ward,Neutral,No Comments,2,235,60
Londonderry Chapel,Bonnie Doon Stake,2,0,20,35,No,Londonderry Ward,Negative,Route 33,2,100,40
Gateway Stake Centre,Gateway Stake,2,1,22,50,No,Ellerslie Ward,Neutral,No Comments,2,191,50
North Stake Centre,Edmonton North Stake,2,0,9,20,No,Griesbach Ward,Neutral,No Comments,2,100,20
Gateway Stake Centre,Gateway Stake,2,0,31,58,No,Silver Berry Ward,Positive,It was awesome,2,27,57
Gateway Stake Centre,Gateway Stake,4,0,26,50,No,Silver Berry Ward,Neutral,No Comments,2,168,50
North Stake Centre,Edmonton North Stake,1,4,42,50,No,Namao Ward,Neutral,No Comments,2,392,60
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,18,120,No,Forest Heights Ward,Neutral,No comments,2,100,56
Gateway Stake Centre,Gateway Stake,2,3,21,50,Yes,Crawford Plains Ward,Negative,The Walmart bags are very difficult to see and it was awful to deliver them. Having to staple the food drive papers to the bags was very time consuming. People think those bags are just garbage. Iâd prefer no bag and door hangers over this in the next year. The yellow bags from past years were the best!,2,317,50
Riverbend Stake Centre,Riverbend Stake,3,0,54,75,No,Greenfield Ward,Neutral,No Comments,2,212,80
Gateway Stake Centre,Gateway Stake,1,2,11,30,Yes,Crawford Plains Ward,Neutral,No Comments,2,261,33
Gateway Stake Centre,Gateway Stake,2,0,15,40,No,Crawford Plains Ward,Neutral,No Comments,2,115,40
Coronation Park Chapel,Edmonton North Stake,1,2,31,45,Yes,Stony Plain Ward,Neutral,No Comments,2,453,69
Gateway Stake Centre,Gateway Stake,2,0,27,40,No,Silver Berry Ward,Neutral,No Comments,2,23,40
Gateway Stake Centre,Gateway Stake,2,0,12,25,No,Crawford Plains Ward,Neutral,No Comments,2,110,25
Londonderry Chapel,Bonnie Doon Stake,2,0,34,60,Yes,Clareview Ward,Neutral,No Comments,2,32,141
Bearspaw Chapel,Gateway Stake,2,3,37,30,Yes,Lee Ridge Ward,Neutral,No Comments,2,144,30
Gateway Stake Centre,Gateway Stake,2,0,26,35,No,Ellerslie Ward,Neutral,No Comments,2,220,35
Londonderry Chapel,Bonnie Doon Stake,2,0,9,45,No,Clareview Ward,Neutral,183,2,195,141
Gateway Stake Centre,Gateway Stake,2,0,11,15,No,Ellerslie Ward,Neutral,No Comments,2,165,15
Bearspaw Chapel,Gateway Stake,1,7,6,60,Yes,Wild Rose Ward,Positive,Thanks ,2,315,60
Londonderry Chapel,Bonnie Doon Stake,2,2,43,60,Yes,Londonderry Ward,Negative,Route 45,2,300,55
Londonderry Chapel,Bonnie Doon Stake,2,1,35,60,Yes,Londonderry Ward,Negative,"Routes 6,7  from calverts",2,250,57
Bearspaw Chapel,Gateway Stake,2,0,8,60,No,Lee Ridge Ward,Neutral,No Comments,2,162,60
Coronation Park Chapel,Bonnie Doon Stake,1,1,38,90,Yes,Coronation Park Ward,Neutral,No Comments,2,300,141
Riverbend Stake Centre,Riverbend Stake,1,3,10,30,No,Woodbend Ward,Neutral,No Comments,2,10,30
Gateway Stake Centre,Gateway Stake,2,3,20,50,No,Ellerslie Ward,Neutral,No Comments,2,219,50
Riverbend Stake Centre,Riverbend Stake,3,0,60,90,No,Terwillegar Park Ward,Positive,more people donated than last year  yea!!!,2,250,90
Londonderry Chapel,Bonnie Doon Stake,1,2,6,45,No,Clareview Ward,Neutral,130,2,150,141
Londonderry Chapel,Bonnie Doon Stake,2,0,45,75,No,Londonderry Ward,Neutral,No Comments,2,300,75
Gateway Stake Centre,Gateway Stake,2,0,24,40,No,Silver Berry Ward,Positive,It was great. So fun,2,167,50
Londonderry Chapel,Bonnie Doon Stake,2,3,35,60,No,Londonderry Ward,Negative,Route: 16,2,180,60
Bearspaw Chapel,Bonnie Doon Stake,2,0,20,45,No,Southgate Ward,Neutral,No Comments,2,95,89
Gateway Stake Centre,Gateway Stake,7,7,46,60,No,Rio Vista Ward,Positive,Fun to do ,2,219,60
Gateway Stake Centre,Gateway Stake,1,1,15,55,Yes,Crawford Plains Ward,Neutral,No Comments,2,236,55
Riverbend Stake Centre,Riverbend Stake,2,0,20,45,No,Rutherford Ward,Neutral,No Comments,2,13,45
Bearspaw Chapel,Gateway Stake,46,0,15,45,No,Lee Ridge Ward,Neutral,No Comments,2,15,45
Londonderry Chapel,Bonnie Doon Stake,2,2,19,45,No,Londonderry Ward,Neutral,No Comments,2,198,35
Coronation Park Chapel,Edmonton North Stake,1,0,30,47,Yes,Stony Plain Ward,Negative,Belmed +195,2,155,141
Gateway Stake Centre,Gateway Stake,2,0,35,70,No,Crawford Plains Ward,Neutral,No Comments,2,134,67
Londonderry Chapel,Bonnie Doon Stake,2,0,4,10,No,Londonderry Ward,Neutral,32,2,195,141
North Stake Centre,Edmonton North Stake,2,4,23,50,No,Griesbach Ward,Neutral,No Comments,2,203,50
Londonderry Chapel,Bonnie Doon Stake,2,0,12,50,No,Clareview Ward,Negative,Route 182,2,180,63
Londonderry Chapel,Bonnie Doon Stake,1,3,7,30,No,Londonderry Ward,Neutral,No Comments,2,7,30
Riverbend Stake Centre,Riverbend Stake,2,0,40,60,No,Greenfield Ward,Neutral,No Comments,2,20,65
Coronation Park Chapel,Bonnie Doon Stake,2,2,72,45,Yes,Coronation Park Ward,Neutral,No Comments,3,63,81
North Stake Centre,Edmonton North Stake,1,2,22,60,No,Griesbach Ward,Neutral,No Comments,2,150,45
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,1,40,60,No,Connors Hill Ward,Neutral,No Comments,2,160,44
Gateway Stake Centre,Gateway Stake,2,3,20,60,Yes,Crawford Plains Ward,Neutral,No Comments,2,194,60
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,33,45,Yes,Forest Heights Ward,Neutral,No comu,2,130,45
Riverbend Stake Centre,Riverbend Stake,1,2,18,40,No,Rutherford Ward,Neutral,No Comments,2,14,40
Gateway Stake Centre,Gateway Stake,2,0,17,40,No,Silver Berry Ward,Neutral,No Comments,2,170,40
Riverbend Stake Centre,Riverbend Stake,2,1,12,15,No,Rutherford Ward,Neutral,No Comments,2,12,40
North Stake Centre,Edmonton North Stake,3,0,17,45,No,Griesbach Ward,Neutral,No Comments,2,13,60
Gateway Stake Centre,Gateway Stake,2,0,32,15,Yes,Crawford Plains Ward,Neutral,No Comments,4,195,54
North Stake Centre,Edmonton North Stake,2,0,12,100,No,Namao Ward,Neutral,No Comments,2,175,95
Riverbend Stake Centre,Riverbend Stake,2,2,10,10,No,Rabbit Hill Ward,Neutral,No Comments,2,70,28
Riverbend Stake Centre,Riverbend Stake,1,3,50,60,No,Terwillegar Park Ward,Neutral,No Comments,2,38,65
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,10,30,No,Connors Hill Ward,Neutral,No Comments,2,136,30
Riverbend Stake Centre,Riverbend Stake,4,0,23,45,No,Greenfield Ward,Neutral,No Comments,2,192,60
North Stake Centre,Edmonton North Stake,1,3,15,60,No,Griesbach Ward,Neutral,No Comments,2,14,60
North Stake Centre,Edmonton North Stake,1,3,7,40,No,Griesbach Ward,Neutral,No Comments,2,90,40
Gateway Stake Centre,Gateway Stake,1,0,16,30,No,Crawford Plains Ward,Neutral,No Comments,2,135,30
Gateway Stake Centre,Gateway Stake,1,2,28,35,No,Ellerslie Ward,Neutral,No Comments,2,203,35
Londonderry Chapel,Bonnie Doon Stake,1,2,12,20,No,Londonderry Ward,Negative,Route: 46,2,110,25
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,60,No,Connors Hill Ward,Negative,Manageable but have lot of no flywrs,2,249,60
Bearspaw Chapel,Gateway Stake,19,2,15,55,No,Lee Ridge Ward,Neutral,No Comments,2,158,70
Bearspaw Chapel,Gateway Stake,7,0,17,40,No,Lee Ridge Ward,Neutral,No Comments,2,170,42
Gateway Stake Centre,Gateway Stake,2,2,9,20,No,Crawford Plains Ward,Neutral,No Comments,2,138,20
Riverbend Stake Centre,Riverbend Stake,4,1,15,15,No,Rabbit Hill Ward,Neutral,No Comments,2,80,15
Bearspaw Chapel,Gateway Stake,3,3,55,47,No,Blackmud Creek Ward,Neutral,No Comments,2,165,47
Gateway Stake Centre,Gateway Stake,3,2,30,40,Yes,Crawford Plains Ward,Neutral,No Comments,2,256,40
Gateway Stake Centre,Gateway Stake,3,1,40,100,Yes,Silver Berry Ward,Neutral,No Comments,2,419,100
North Stake Centre,Edmonton North Stake,2,2,15,60,No,Griesbach Ward,Neutral,No Comments,2,106,50
Coronation Park Chapel,Bonnie Doon Stake,2,2,35,75,Yes,Coronation Park Ward,Neutral,No Comments,2,144,74
Gateway Stake Centre,Gateway Stake,2,1,11,60,Yes,Silver Berry Ward,Neutral,No Comments,2,11,60
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,16,40,No,Forest Heights Ward,Neutral,No Comments,2,125,40
Gateway Stake Centre,Gateway Stake,1,2,32,35,No,Lee Ridge Ward,Negative,40 houses donât allowed put bags ,2,173,35
North Stake Centre,Edmonton North Stake,2,0,18,55,No,Griesbach Ward,Neutral,No Comments,2,90,55
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,4,32,45,No,Forest Heights Ward,Neutral,No comment ,2,200,73
Coronation Park Chapel,Bonnie Doon Stake,3,0,18,45,No,Coronation Park Ward,Neutral,No Comments,2,143,45
Riverbend Stake Centre,Riverbend Stake,2,0,44,70,Yes,Terwillegar Park Ward,Positive,Equal no of bags collected  like last year ,2,285,75
Gateway Stake Centre,Gateway Stake,2,3,30,60,Yes,Crawford Plains Ward,Neutral,No Comments,2,23,75
Gateway Stake Centre,Gateway Stake,3,2,30,40,No,Ellerslie Ward,Neutral,No Comments,2,210,45
Bearspaw Chapel,Gateway Stake,2,0,35,60,No,Blackmud Creek Ward,Positive,We enjoyed the experience ,2,148,120
Riverbend Stake Centre,Riverbend Stake,2,0,44,60,Yes,Rutherford Ward,Neutral,No Comments,2,446,60
Londonderry Chapel,Bonnie Doon Stake,1,2,35,45,No,Londonderry Ward,Neutral,50,2,200,141
Coronation Park Chapel,Bonnie Doon Stake,3,1,117,45,Yes,Coronation Park Ward,Neutral,No Comments,4,403,90
North Stake Centre,Edmonton North Stake,2,0,30,105,Yes,Griesbach Ward,Neutral,No Comments,3,356,105
Londonderry Chapel,Bonnie Doon Stake,2,2,40,70,Yes,Clareview Ward,Negative,Routes 159 & 160,2,200,70
Londonderry Chapel,Bonnie Doon Stake,2,0,3,3,No,Clareview Ward,Negative,Collecting late bags. Route 156,2,195,141
Gateway Stake Centre,Gateway Stake,2,0,30,55,No,Silver Berry Ward,Negative,No flyer houses -13,2,174,55
Bearspaw Chapel,Gateway Stake,4,3,26,30,No,Lee Ridge Ward,Negative,"Donât separate D flyers from bags, takes longer to drop off",2,148,36
Riverbend Stake Centre,Riverbend Stake,1,1,24,90,No,Terwillegar Park Ward,Neutral,No Comments,2,170,90
Riverbend Stake Centre,Riverbend Stake,2,0,70,90,Yes,Terwillegar Park Ward,Neutral,No Comments,1,312,108
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,20,60,No,Forest Heights Ward,Neutral,No Comments,2,120,60
Gateway Stake Centre,Gateway Stake,1,0,26,40,Yes,Ellerslie Ward,Neutral,No Comments,2,191,36
Gateway Stake Centre,Gateway Stake,2,1,23,32,Yes,Crawford Plains Ward,Negative,One and half route,2,195,32
Londonderry Chapel,Bonnie Doon Stake,2,0,15,30,No,Clareview Ward,Negative,Route: 108,2,121,38
Gateway Stake Centre,Gateway Stake,2,3,13,15,No,Crawford Plains Ward,Neutral,No Comments,2,115,30
Gateway Stake Centre,Gateway Stake,1,2,20,50,Yes,Ellerslie Ward,Neutral,No Comments,2,260,50
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,18,45,No,Forest Heights Ward,Neutral,No comment ,2,125,36
Gateway Stake Centre,Gateway Stake,2,1,36,40,No,Lee Ridge Ward,Neutral,No Comments,2,145,44
Bearspaw Chapel,Bonnie Doon Stake,5,1,6,15,No,Southgate Ward,Neutral,No Comments,2,40,60
Gateway Stake Centre,Gateway Stake,2,2,35,60,No,Ellerslie Ward,Neutral,No Comments,2,214,60
Gateway Stake Centre,Gateway Stake,2,0,6,15,No,Crawford Plains Ward,Neutral,No Comments,2,168,15
North Stake Centre,Edmonton North Stake,3,2,43,60,Yes,Griesbach Ward,Neutral,No Comments,2,40,60
Riverbend Stake Centre,Riverbend Stake,3,1,19,40,No,Terwillegar Park Ward,Neutral,No Comments,2,150,50
North Stake Centre,Edmonton North Stake,2,1,10,52,No,Griesbach Ward,Neutral,No Comments,2,120,52
Riverbend Stake Centre,Riverbend Stake,2,1,48,44,Yes,Greenfield Ward,Neutral,No Comments,2,208,44
Bonnie Doon Stake Centre,Bonnie Doon Stake,4,0,42,60,Yes,Forest Heights Ward,Neutral,No Comments,2,194,96
Riverbend Stake Centre,Riverbend Stake,1,2,40,30,No,Woodbend Ward,Neutral,No Comments,2,220,30
Londonderry Chapel,Bonnie Doon Stake,1,1,30,60,No,Londonderry Ward,Neutral,No Comments,2,100,141
Coronation Park Chapel,Bonnie Doon Stake,2,1,55,110,Yes,Coronation Park Ward,Neutral,No Comments,2,195,98
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,40,150,Yes,Connors Hill Ward,Neutral,No comment ,2,180,95
Riverbend Stake Centre,Riverbend Stake,2,0,50,270,Yes,Greenfield Ward,Neutral,No Comments,1,210,83
Bearspaw Chapel,Gateway Stake,6,5,48,49,No,Blackmud Creek Ward,Neutral,No Comments,2,162,42
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,17,51,No,Forest Heights Ward,Neutral,No Comments,2,75,54
Riverbend Stake Centre,Riverbend Stake,2,2,65,90,Yes,Rutherford Ward,Neutral,No Comments,2,650,70
Bearspaw Chapel,Gateway Stake,2,2,15,60,No,Blackmud Creek Ward,Neutral,No Comments,2,100,75
Gateway Stake Centre,Gateway Stake,2,3,31,50,No,Silver Berry Ward,Positive,Sign for cars would be good and while dropping they should give shirts that show they are doing voluntary work ,2,180,50
Londonderry Chapel,Bonnie Doon Stake,2,0,6,35,No,Clareview Ward,Negative,Route 136,2,110,65
Londonderry Chapel,Bonnie Doon Stake,1,0,30,75,Yes,Londonderry Ward,Neutral,No Comments,2,195,141
Coronation Park Chapel,Bonnie Doon Stake,4,0,37,45,Yes,Coronation Park Ward,Neutral,No Comments,2,195,100
Bearspaw Chapel,Bonnie Doon Stake,2,1,10,55,No,Strathcona Married Student Ward,Neutral,No Comments,2,90,45
Londonderry Chapel,Bonnie Doon Stake,4,1,17,30,No,Londonderry Ward,Neutral,No Comments,2,17,141
Gateway Stake Centre,Gateway Stake,2,2,34,28,No,Ellerslie Ward,Neutral,No Comments,2,203,28
Riverbend Stake Centre,Riverbend Stake,1,1,15,15,No,Woodbend Ward,Neutral,No Comments,2,8,15
Gateway Stake Centre,Gateway Stake,24,0,14,24,Yes,Crawford Plains Ward,Neutral,No Comments,2,146,24
Riverbend Stake Centre,Riverbend Stake,3,0,52,80,Yes,Rabbit Hill Ward,Neutral,No Comments,2,313,67
Gateway Stake Centre,Gateway Stake,2,3,50,90,Yes,Crawford Plains Ward,Negative,"The bags were garbage, they should've been better (maybe use door hangers instead) ",3,460,90
Coronation Park Chapel,Bonnie Doon Stake,2,2,37,57,No,Coronation Park Ward,Neutral,No Comments,2,195,57
North Stake Centre,Edmonton North Stake,2,0,23,30,No,Griesbach Ward,Neutral,No Comments,2,20,30
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,28,57,Yes,Forest Heights Ward,Neutral,No Comments,2,200,57
North Stake Centre,Edmonton North Stake,2,2,19,30,No,Griesbach Ward,Neutral,No Comments,2,100,30
Riverbend Stake Centre,Riverbend Stake,2,0,15,40,No,Woodbend Ward,Neutral,No Comments,2,80,88
Riverbend Stake Centre,Riverbend Stake,2,3,27,60,No,Greenfield Ward,Neutral,No Comments,2,21,60
Bearspaw Chapel,Bonnie Doon Stake,2,2,9,60,No,Southgate Ward,Neutral,No Comments,2,150,60
Gateway Stake Centre,Gateway Stake,2,3,30,35,No,Lee Ridge Ward,Neutral,No Comments,2,30,35
Riverbend Stake Centre,Riverbend Stake,1,5,70,60,No,Woodbend Ward,Neutral,No Comments,2,350,60
Bearspaw Chapel,Gateway Stake,2,20,20,60,No,Blackmud Creek Ward,Positive,Great experience to thank our neighbors for their generosity.,2,147,60
Gateway Stake Centre,Gateway Stake,2,4,14,30,No,Ellerslie Ward,Neutral,No Comments,2,190,31
Gateway Stake Centre,Gateway Stake,2,0,38,90,No,Silver Berry Ward,Neutral,No Comments,2,243,90
Bearspaw Chapel,YSA Stake,1,2,50,60,Yes,Windsor Park YSA Ward,Positive,Good,2,110,58
Coronation Park Chapel,Bonnie Doon Stake,1,1,15,60,No,Coronation Park Ward,Neutral,No Comments,2,100,63
Gateway Stake Centre,Gateway Stake,2,0,6,18,Yes,Crawford Plains Ward,Neutral,No Comments,2,136,18
Riverbend Stake Centre,Riverbend Stake,2,1,35,30,No,Woodbend Ward,Neutral,No Comments,2,179,65
Riverbend Stake Centre,Riverbend Stake,2,0,8,20,No,Greenfield Ward,Neutral,No Comments,2,150,30
Gateway Stake Centre,Gateway Stake,2,4,25,34,No,Ellerslie Ward,Neutral,No Comments,2,198,34
Londonderry Chapel,Bonnie Doon Stake,1,0,38,90,Yes,Clareview Ward,Negative,"2twice over. Routes: 145,146",2,300,114
Londonderry Chapel,Bonnie Doon Stake,2,0,28,45,No,Londonderry Ward,Neutral,64,2,185,141
North Stake Centre,Edmonton North Stake,2,1,21,45,Yes,Griesbach Ward,Neutral,No Comments,2,150,45
Riverbend Stake Centre,Riverbend Stake,1,1,30,45,No,Rabbit Hill Ward,Neutral,No Comments,2,158,40
Riverbend Stake Centre,Riverbend Stake,2,1,46,60,No,Greenfield Ward,Positive,Itâs awesome ,2,220,60
Gateway Stake Centre,Gateway Stake,2,1,25,45,No,Silver Berry Ward,Neutral,No Comments,2,230,45
Gateway Stake Centre,Gateway Stake,2,1,40,60,Yes,Ellerslie Ward,Negative,Lots of bags weren't seen or picked up by house owners,1,228,53
Bearspaw Chapel,Bonnie Doon Stake,1,2,31,60,No,Southgate Ward,Neutral,No Comments,2,143,55
Bearspaw Chapel,Gateway Stake,2,4,24,40,No,Lee Ridge Ward,Neutral,No Comments,2,169,40
Gateway Stake Centre,Gateway Stake,2,0,8,30,No,Crawford Plains Ward,Neutral,No Comments,2,144,30
North Stake Centre,Edmonton North Stake,2,1,17,60,No,Griesbach Ward,Neutral,No Comments,2,50,75
Gateway Stake Centre,Gateway Stake,2,4,40,37,No,Ellerslie Ward,Neutral,No Comments,2,207,141
Riverbend Stake Centre,Riverbend Stake,2,0,44,80,No,Greenfield Ward,Neutral,No Comments,2,200,80
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,19,60,Yes,Connors Hill Ward,Neutral,No Comments,2,280,63
Gateway Stake Centre,Gateway Stake,2,0,25,30,No,Crawford Plains Ward,Neutral,No Comments,2,150,10
North Stake Centre,Edmonton North Stake,1,3,32,75,No,Griesbach Ward,Neutral,No Comments,2,100,63
Bearspaw Chapel,Gateway Stake,4,0,32,40,No,Lee Ridge Ward,Neutral,No Comments,2,155,45
Riverbend Stake Centre,Riverbend Stake,2,4,45,120,No,Greenfield Ward,Neutral,No Comments,2,45,109
Gateway Stake Centre,Gateway Stake,2,1,24,60,No,Silver Berry Ward,Positive,The bags should have the food bank on it not a flyer!!,2,220,63
Gateway Stake Centre,Gateway Stake,1,2,32,60,Yes,Crawford Plains Ward,Neutral,No Comments,2,215,63
North Stake Centre,Edmonton North Stake,1,0,5,30,No,Griesbach Ward,Neutral,No Comments,2,40,30
Londonderry Chapel,Bonnie Doon Stake,2,4,22,20,No,Clareview Ward,Negative,Route 141,2,195,63
Riverbend Stake Centre,Riverbend Stake,3,0,14,30,No,Rutherford Ward,Neutral,No Comments,2,159,40
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,14,45,No,Strathcona Married Student Ward,Neutral,No Comments,2,110,35
Riverbend Stake Centre,Riverbend Stake,3,1,34,60,No,Terwillegar Park Ward,Neutral,No Comments,2,150,96
Riverbend Stake Centre,Riverbend Stake,2,0,12,35,No,Rutherford Ward,Neutral,No Comments,2,159,25
North Stake Centre,Edmonton North Stake,1,4,22,60,No,Namao Ward,Neutral,No Comments,2,236,90
