Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Londonderry Chapel,Bonnie Doon Stake,1,1,12,60,Yes,Londonderry Ward,Neutral,No Comments,1,195,45
Londonderry Chapel,Bonnie Doon Stake,1,1,55,180,No,Clareview Ward,Negative,Route# 132,2,225,141
Gateway Stake Centre,Gateway Stake,1,2,17,40,Yes,Crawford Plains Ward,Positive,Would be helpful to have print outs to put on car saying volunteer ,1,113,50
Bearspaw Chapel,Gateway Stake,2,3,50,45,No,Blackmud Creek Ward,Neutral,No Comments,2,240,45
Bearspaw Chapel,Gateway Stake,1,1,23,30,No,Lee Ridge Ward,Neutral,No Comments,2,195,30
Gateway Stake Centre,Gateway Stake,2,3,30,62,No,Ellerslie Ward,Neutral,No Comments,2,200,63
Londonderry Chapel,Bonnie Doon Stake,2,0,5,15,No,Londonderry Ward,Neutral,8,2,218,141
Bearspaw Chapel,Gateway Stake,2,1,21,55,No,Lee Ridge Ward,Positive,Map should be more specific ,2,139,32
Gateway Stake Centre,Gateway Stake,2,4,50,45,No,Ellerslie Ward,Positive,More ppl should donate,2,236,60
Riverbend Stake Centre,Riverbend Stake,1,1,43,60,No,Rabbit Hill Ward,Neutral,No Comments,2,208,65
Gateway Stake Centre,Gateway Stake,2,1,25,40,No,Silver Berry Ward,Negative,We did this route last year and the turn out was not good either. ,2,118,48
Gateway Stake Centre,Gateway Stake,1,0,29,69,No,Silver Berry Ward,Neutral,No Comments,2,266,63
Gateway Stake Centre,Gateway Stake,2,0,40,65,No,Ellerslie Ward,Neutral,No Comments,2,239,63
Gateway Stake Centre,Gateway Stake,2,2,85,90,Yes,Silver Berry Ward,Neutral,No Comments,3,585,63
Bearspaw Chapel,Gateway Stake,2,1,30,40,Yes,Lee Ridge Ward,Neutral,No Comments,2,165,90
Gateway Stake Centre,Gateway Stake,1,1,18,26,No,Ellerslie Ward,Neutral,No Comments,2,201,25
Bearspaw Chapel,Bonnie Doon Stake,1,0,13,60,No,Strathcona Married Student Ward,Neutral,No Comments,2,195,61
Gateway Stake Centre,Gateway Stake,2,2,20,45,No,Lee Ridge Ward,Neutral,No Comments,2,151,63
North Stake Centre,Edmonton North Stake,2,0,93,120,Yes,Griesbach Ward,Neutral,No Comments,3,552,63
Gateway Stake Centre,Gateway Stake,2,3,22,40,No,Silver Berry Ward,Neutral,No Comments,2,118,63
Riverbend Stake Centre,Riverbend Stake,4,0,80,120,Yes,Drayton Valley Ward,Neutral,No Comments,4,400,90
Gateway Stake Centre,Gateway Stake,2,2,29,45,No,Silver Berry Ward,Neutral,No Comments,2,342,45
Bearspaw Chapel,Gateway Stake,2,1,35,40,Yes,Lee Ridge Ward,Neutral,No Comments,2,172,60
Bearspaw Chapel,Gateway Stake,1,0,23,60,No,Lee Ridge Ward,Neutral,No Comments,2,163,90
Gateway Stake Centre,Gateway Stake,2,2,17,37,No,Silver Berry Ward,Neutral,No Comments,2,186,37
Bearspaw Chapel,Bonnie Doon Stake,2,0,22,30,No,Southgate Ward,Positive,Stopped to talk to a few neighbours ,2,145,45
Riverbend Stake Centre,Riverbend Stake,2,0,8,15,No,Rutherford Ward,Neutral,No Comments,2,68,38
Bearspaw Chapel,Bonnie Doon Stake,2,0,11,38,No,Strathcona Married Student Ward,Negative,There were many no soliciting signs on our route. Many houses still had bags in the mailboxes and appeared uninhabited.,2,158,43
Gateway Stake Centre,Gateway Stake,6,0,20,30,No,Silver Berry Ward,Neutral,No Comments,2,300,30
